participant,age,handedness,vr_experience,vr_exp_level,robot_experience,robot_exp_level,condition,condition_code,condition_label,task,task_code,task_label,task_outcome,outcome_score,outcome_success,subscale,rating,subscale_label,subscale_order
P5,26,Right,Intermediate,2,Novice,1,VR,VR,VR teleoperation,PickAndPlace,PP,Pick-and-place,Fail_no_pick_reach_only,0,0,physical,70,Physical demand,2
P5,26,Right,Intermediate,2,Novice,1,VR,VR,VR teleoperation,PickAndPlace,PP,Pick-and-place,Fail_no_pick_reach_only,0,0,temporal,20,Temporal demand,3
P5,26,Right,Intermediate,2,Novice,1,VR,VR,VR teleoperation,PickAndPlace,PP,Pick-and-place,Fail_no_pick_reach_only,0,0,performance,10,Performance,4
P5,26,Right,Intermediate,2,Novice,1,VR,VR,VR teleoperation,PickAndPlace,PP,Pick-and-place,Fail_no_pick_reach_only,0,0,effort,50,Effort,5
P5,26,Right,Intermediate,2,Novice,1,VR,VR,VR teleoperation,PickAndPlace,PP,Pick-and-place,Fail_no_pick_reach_only,0,0,frustration,15,Frustration,6
P5,26,Right,Intermediate,2,Novice,1,VR,VR,VR teleoperation,TargetReaching,TR,Target reaching,Success_reached,2,1,mental,70,Mental demand,1
P5,26,Right,Intermediate,2,Novice,1,VR,VR,VR teleoperation,TargetReaching,TR,Target reaching,Success_reached,2,1,physical,85,Physical demand,2
P5,26,Right,Intermediate,2,Novice,1,VR,VR,VR teleoperation,TargetReaching,TR,Target reaching,Success_reached,2,1,temporal,75,Temporal demand,3
P5,26,Right,Intermediate,2,Novice,1,VR,VR,VR teleoperation,TargetReaching,TR,Target reaching,Success_reached,2,1,performance,5,Performance,4
P5,26,Right,Intermediate,2,Novice,1,VR,VR,VR teleoperation,TargetReaching,TR,Target reaching,Success_reached,2,1,effort,70,Effort,5
P5,26,Right,Intermediate,2,Novice,1,VR,VR,VR teleoperation,TargetReaching,TR,Target reaching,Success_reached,2,1,frustration,10,Frustration,6
